"Event_Label","Resource_Title","Number of Downloads"
"/publications/pdfs/alnap-provention_sasia_quake_lessonsa.","alnap provention_sasia_quake_lessonsa.",1
"/publications/pdfs/alnaplessonsfoddpricecrisis.pdf","alnaplessonsfoddpricecrisis.pdf",1
"/publications/pdfs/ALNAPLessopnsFoodPriceCrisis.pdf","ALNAPLessopnsFoodPriceCrisis.pdf",1
"/publications/pdfs/ALNAPLesssonsCycloneNargis.pdf,","ALNAPLesssonsCycloneNargis.pdf,",1
"/publications/pdfs/alnap-provention_sasia_quake_lessonsb.pdf","alnap provention_sasia_quake_lessonsb.pdf",1
"/publications/pdfs/alnap-provention_sasia_recovery_spanish.pdf","alnap provention_sasia_recovery_spanish.pdf",1
"/resource/pool/files/alnap-protection-guide.pdf","alnap protection guide.pdf",1
"/resource/pool/files/reportonjointevaluationsworkshopalnapbiannual(2).pdf","reportonjointevaluationsworkshopalnapbiannual(2).pdf",1
"/meetings/pdfs/alnap_dminorias_spain040608.pdf","alnap_dminorias_spain040608.pdf",1
"/publications/pdfs/alnap-provention_sasia_recovery_urdu.pdf","alnap provention_sasia_recovery_urdu.pdf",1
"/publications.pdfs/ALNAPLessonsFoodPriceCrisis.pdf","ALNAPLessonsFoodPriceCrisis.pdf",1
"/publications/pdfs/alnaplessonsearthquakes.pdf","alnaplessonsearthquakes.pdf",1
"/publications/pdfs/alnaplessonsurbandisasters.pdf","alnaplessonsurbandisasters.pdf",1
"/pubs/pdfs/alnap-provention_sasia_quake_lessonsb.pdf","alnap provention_sasia_quake_lessonsb.pdf",1
