Event_Label,Sessions
/system/files/content/resource/files/main/goffwald.pdf,8
/system/files/content/resource/files/main/Greenfield%20Evaluation%20Summary%20Report%20%28Final%29.pdf,8
/system/files/content/resource/files/main/humanitarian-action-save-the-children-gaza-emergency-response-evaluation.pdf,8
/system/files/content/resource/files/main/Humanitarian-Response-Funding-Guidelines-2015.pdf,8
/system/files/content/resource/files/main/networkpaper068.pdf,8
/system/files/content/resource/files/main/proof-umvat.pdf,8
/system/files/content/resource/files/main/the-innovation-value-chain.pdf,8
/system/files/content/resource/files/main/torqaid-cbdrm-workbook-1.pdf,8
/system/files/content/resource/files/main/who-is-listening-report.pdf,8
/system/files/content/resource/files/main/yemen-lle-final-report-170519-0.pdf,8
/sites/alnap-dev.mrmdev.co.uk/files/content/attachments/2017-11-02/ALNAP%20Webinar%20Choosing%20and%20defining%20urban%20areas%20for%20humanitarian%20response.pdf,7
/sites/alnap-dev.mrmdev.co.uk/files/content/attachments/2017-11-30/GRC%20Project%20Manager%20Capacity%20Building%20Quito%20Lima.pdf,7
/sites/alnap-dev.mrmdev.co.uk/files/content/attachments/2017-12-05/Announcement%20for%20Field%20Medical%20Managers%20December%202017.pdf,7
/sites/alnap-dev.mrmdev.co.uk/files/content/job/attachments/2018-01-17/2018-01-11-ToR%20-%20DRC%20-%20GetyBoga%20for%20PUB%20version%203%20VN.pdf,7
/system/files/content/resource/files/main/100-10035b-final-drr-research-report.pdf,7
/system/files/content/resource/files/main/10797iied%281%29.pdf,7
/system/files/content/resource/files/main/38368714.pdf,7
/system/files/content/resource/files/main/49324-unisdrmeframeworkver1-0.pdf,7
/system/files/content/resource/files/main/575-cached.pdf,7
/system/files/content/resource/files/main/825.pdf,7
/system/files/content/resource/files/main/acf-fsl-m-e-programme-guidelines-en-dec-2011.pdf,7
/system/files/content/resource/files/main/alnap-blogging-guidelines.pdf,7
/system/files/content/resource/files/main/alnap-global-forum-summary-paper.pdf,7
/system/files/content/resource/files/main/alnap-nngos-colombia.pdf,7
/system/files/content/resource/files/main/alnap-sohs-2015-ch-4-1-%27assesment-of-performance%27.pdf,7
/system/files/content/resource/files/main/alnap-sohs-2015-ch3-%27the-response%27.pdf,7
/system/files/content/resource/files/main/alnap-urban-2017-ebola-population-movement.pdf,7
/system/files/content/resource/files/main/alnap-urban-2017-ebola-quarantine.pdf,7
/system/files/content/resource/files/main/another-side-to-the-story-a-market-assessment-of-syrian-smes-in-turkey.pdf,7
/system/files/content/resource/files/main/connectors-and-dividers-tool-description---case.pdf,7
/system/files/content/resource/files/main/coord-meeting-2016-bp-national-actors.pdf,7
/system/files/content/resource/files/main/cp-gbvzaatariassessment.pdf,7
/system/files/content/resource/files/main/cp-metro-manila-08-05.pdf,7
/system/files/content/resource/files/main/cp-tehran-july2006.pdf,7
/system/files/content/resource/files/main/document-9.pdf,7
/system/files/content/resource/files/main/ecb-tools-and-resources-one-page-fr.pdf,7
/system/files/content/resource/files/main/ehasummaries.pdf,7
/system/files/content/resource/files/main/erd-3590-full.pdf,7
/system/files/content/resource/files/main/humanitarian-negotiation-manual.pdf,7
/system/files/content/resource/files/main/krueger-focusgroupinterviews.pdf,7
/system/files/content/resource/files/main/nusaf-2-impact-assessment-report-2013.pdf,7
/system/files/content/resource/files/main/oecd-dac-%282002%29-glossary-key-terms-in-eval-and-rbm.pdf,7
/system/files/content/resource/files/main/pnrc-report-part-2-cba-final.pdf,7
/system/files/content/resource/files/main/prmmanual-v1-1.pdf,7
/system/files/content/resource/files/main/rapport-echo-urba-alnap-vfinale-aout.pdf,7
/system/files/content/resource/files/main/reforming-urban-planning-system-in-lebanon-e.pdf,7
/system/files/content/resource/files/main/syntheseen-gdpc.pdf,7
/system/files/content/resource/files/main/tearfund-remote-monitoring-and-accountability-practices-tf-2012.pdf,7
/system/files/content/resource/files/main/the-legitimacy-of-the-state-in-fragile-situations.pdf,7
/system/files/content/resource/files/main/the-logical-framework-approach-a-summary-of-the-theory-behind-the-lfa-method.pdf,7
/system/files/content/resource/files/main/to-be-added1.pdf,7
/system/files/content/resource/files/main/updated-leadership-discussion-starter-final.pdf,7
/system/files/content/resource/files/summary/erd-2517-summary.pdf,7
/sites/alnap-dev.mrmdev.co.uk/files/content/attachments/2017-10-18/sci-consultant-%28translator-for-project-documents%29-20-sep-2017_0.pdf,6
/sites/alnap-dev.mrmdev.co.uk/files/content/attachments/2017-11-29/Coordinateur%20de%20p%C3%B4le%20sectoriel.pdf,6
/sites/alnap-dev.mrmdev.co.uk/files/content/attachments/2017-12-13/TOR-Baseline%20assessment-attachment9136685%20unicef.pdf,6
/sites/alnap-dev.mrmdev.co.uk/files/content/attachments/2018-01-02/Coordinateur%28trice%29%20partenariats%20techniques%20et%20plaidoyer.pdf,6
/system/files/content/resource/files/main/1070-drrscopingstudy.pdf,6
/system/files/content/resource/files/main/2-bk-building-trust-in-diverse-teams-031107-en.pdf,6
/system/files/content/resource/files/main/2005-shelter-assistance-post-disaster.pdf,6
/system/files/content/resource/files/main/201519-rapor196tur.pdf,6
/system/files/content/resource/files/main/20180115_acaps_technical_note_subjective_measures_full_report.pdf,6
/system/files/content/resource/files/main/21-evaluation-of-ia-cp-ims-final-report-english-1.pdf,6
/system/files/content/resource/files/main/29-yuvaneeds-assessment-report-final.pdf,6
/system/files/content/resource/files/main/31-am-disc-starter-%5Bweb%5D.pdf,6
/system/files/content/resource/files/main/4276_002_Data-analysis-humanitarian-work_web.pdf,6
/system/files/content/resource/files/main/432.pdf,6
/system/files/content/resource/files/main/52710bf39.pdf,6
/system/files/content/resource/files/main/7596.pdf,6
/system/files/content/resource/files/main/7rha-ch2_0.pdf,6
/system/files/content/resource/files/main/8786.pdf,6
/system/files/content/resource/files/main/accountability-for-drr.pdf,6
/system/files/content/resource/files/main/ajem-feb07-lessonslearned.pdf,6
/system/files/content/resource/files/main/alnap-lessons-flood-cosgrave.pdf,6
/system/files/content/resource/files/main/alnap-networked-response-2013.pdf,6
/system/files/content/resource/files/main/alnap-practice-note%28aug2014%29commdissemtake-up.pdf,6
/system/files/content/resource/files/main/alnap-provention-lessons-on-slow-onset-disasters.pdf,6
/system/files/content/resource/files/main/ASEAN_Roundtable_singapore_tsunami_aid_architecture.pdf,6
/system/files/content/resource/files/main/baseline-assessment-of-kdh-monitoring-practices.pdf,6
/system/files/content/resource/files/main/beneficiary-feedback---complaint-mechanisms-report-july-29-2013-hamza.pdf,6
/system/files/content/resource/files/main/community-based-disaster-preparedness-1.pdf,6
/system/files/content/resource/files/main/complaint-mechanisms-overview-final.pdf,6
/system/files/content/resource/files/main/complicatedandcomplexsystems-zimmermanreport-medicare-reform.pdf,6
/system/files/content/resource/files/main/delhi-street-children-study-v3.pdf,6
/system/files/content/resource/files/main/dfid-htn-strength-of-evidence.pdf,6
/system/files/content/resource/files/main/dfid-toc-review-vogelv7.pdf,6
/system/files/content/resource/files/main/disaster-report-final.pdf,6
/system/files/content/resource/files/main/ecb-tools-and-resources-one-pagees.pdf,6
/system/files/content/resource/files/main/eha-spanish.pdf,6
/system/files/content/resource/files/main/elmt-else-evaluation-report-final%5B1%5D.pdf,6
/system/files/content/resource/files/main/evaluation-of-five-humanitarian-programmes-of-the-norwegian-refugee-council-and-of-the-standby-roster-norcap.pdf,6
/system/files/content/resource/files/main/gha-report-2017-full-report.pdf,6
/system/files/content/resource/files/main/hd-slim-marketing-humanitarian-space.pdf,6
/system/files/content/resource/files/main/herams-report-final.pdf,6
